projID,projectName,metricName,reportingMonth,totalVolume,achieveVolume,metricPerformance
acosta,Acosta_ServiceDesk,Abandon Rate,1/1/2015,856,952,0.90
acosta,Acosta_ServiceDesk,Abandon Rate,2/1/2015,228,884,0.26
acosta,Acosta_ServiceDesk,Abandon Rate,3/1/2015,248,974,0.25
acosta,Acosta_ServiceDesk,Abandon Rate,4/1/2015,638,927,0.69
acosta,Acosta_ServiceDesk,Abandon Rate,5/1/2015,502,633,0.79
acosta,Acosta_ServiceDesk,Abandon Rate,6/1/2015,388,821,0.47
acosta,Acosta_ServiceDesk,Abandon Rate,7/1/2015,991,994,1.00
acosta,Acosta_ServiceDesk,Abandon Rate,8/1/2015,527,848,0.62
acosta,Acosta_ServiceDesk,Abandon Rate,9/1/2015,46,861,0.05
acosta,Acosta_ServiceDesk,Abandon Rate,10/1/2015,566,983,0.58
acosta,Acosta_ServiceDesk,Abandon Rate,11/1/2015,135,308,0.44
acosta,Acosta_ServiceDesk,Abandon Rate,12/1/2015,59,120,0.49
acosta,Acosta_ServiceDesk,Abandon Rate,1/1/2016,791,976,0.81
acosta,Acosta_ServiceDesk,Abandon Rate,2/1/2016,942,971,0.97
acosta,Acosta_ServiceDesk,Abandon Rate,3/1/2016,447,782,0.57
acosta,Acosta_ServiceDesk,Abandon Rate,4/1/2016,788,994,0.79
acosta,Acosta_ServiceDesk,Abandon Rate,5/1/2016,419,648,0.65
acosta,Acosta_ServiceDesk,Abandon Rate,6/1/2016,306,583,0.52
acosta,Acosta_ServiceDesk,Abandon Rate,7/1/2016,553,765,0.72
acosta,Acosta_ServiceDesk,Abandon Rate,8/1/2016,108,144,0.75
acosta,Acosta_ServiceDesk,Average Handle Time,1/1/2015,548,818,683.00
acosta,Acosta_ServiceDesk,Average Handle Time,2/1/2015,540,877,708.50
acosta,Acosta_ServiceDesk,Average Handle Time,3/1/2015,677,746,711.50
acosta,Acosta_ServiceDesk,Average Handle Time,4/1/2015,851,858,854.50
acosta,Acosta_ServiceDesk,Average Handle Time,5/1/2015,641,991,816.00
acosta,Acosta_ServiceDesk,Average Handle Time,6/1/2015,46,206,126.00
acosta,Acosta_ServiceDesk,Average Handle Time,7/1/2015,978,1000,989.00
acosta,Acosta_ServiceDesk,Average Handle Time,8/1/2015,474,609,541.50
acosta,Acosta_ServiceDesk,Average Handle Time,9/1/2015,819,939,879.00
acosta,Acosta_ServiceDesk,Average Handle Time,10/1/2015,108,522,315.00
acosta,Acosta_ServiceDesk,Average Handle Time,11/1/2015,411,948,679.50
acosta,Acosta_ServiceDesk,Average Handle Time,12/1/2015,887,925,906.00
acosta,Acosta_ServiceDesk,Average Handle Time,1/1/2016,650,757,703.50
acosta,Acosta_ServiceDesk,Average Handle Time,2/1/2016,55,147,101.00
acosta,Acosta_ServiceDesk,Average Handle Time,3/1/2016,714,975,844.50
acosta,Acosta_ServiceDesk,Average Handle Time,4/1/2016,747,775,761.00
acosta,Acosta_ServiceDesk,Average Handle Time,5/1/2016,3,909,456.00
acosta,Acosta_ServiceDesk,Average Handle Time,6/1/2016,382,546,464.00
acosta,Acosta_ServiceDesk,Average Handle Time,7/1/2016,694,881,787.50
acosta,Acosta_ServiceDesk,Average Handle Time,8/1/2016,150,356,253.00
acosta,Acosta_ServiceDesk,Average Hold Time,1/1/2015,930,967,948.50
acosta,Acosta_ServiceDesk,Average Hold Time,2/1/2015,922,931,926.50
acosta,Acosta_ServiceDesk,Average Hold Time,3/1/2015,523,701,612.00
acosta,Acosta_ServiceDesk,Average Hold Time,4/1/2015,64,409,236.50
acosta,Acosta_ServiceDesk,Average Hold Time,5/1/2015,624,809,716.50
acosta,Acosta_ServiceDesk,Average Hold Time,6/1/2015,95,583,339.00
acosta,Acosta_ServiceDesk,Average Hold Time,7/1/2015,983,990,986.50
acosta,Acosta_ServiceDesk,Average Hold Time,8/1/2015,78,977,527.50
acosta,Acosta_ServiceDesk,Average Hold Time,9/1/2015,965,986,975.50
acosta,Acosta_ServiceDesk,Average Hold Time,10/1/2015,767,976,871.50
acosta,Acosta_ServiceDesk,Average Hold Time,11/1/2015,698,844,771.00
acosta,Acosta_ServiceDesk,Average Hold Time,12/1/2015,289,538,413.50
acosta,Acosta_ServiceDesk,Average Hold Time,1/1/2016,389,609,499.00
acosta,Acosta_ServiceDesk,Average Hold Time,2/1/2016,654,973,813.50
acosta,Acosta_ServiceDesk,Average Hold Time,3/1/2016,361,871,616.00
acosta,Acosta_ServiceDesk,Average Hold Time,4/1/2016,611,736,673.50
acosta,Acosta_ServiceDesk,Average Hold Time,5/1/2016,371,950,660.50
acosta,Acosta_ServiceDesk,Average Hold Time,6/1/2016,36,829,432.50
acosta,Acosta_ServiceDesk,Average Hold Time,7/1/2016,569,782,675.50
acosta,Acosta_ServiceDesk,Average Hold Time,8/1/2016,401,600,500.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,1/1/2015,494,608,551.00
